candidate_id,identity_key,name_en_candidate,vendor_body_tags,body_part_candidates_ko,equipment_candidates,recording_type_candidates,source_count,male_count,female_count,duplicate_review_group_id,duplicate_review_key,default_male_media_id_candidate,default_female_media_id_candidate,media_pairing_status,name_ko,primary_muscles_ko,secondary_muscles_ko,movement_pattern,posture_context,catalog_status,qa_status
gvc_07cc77a18a2e,seated hamstring side stretch,Seated Hamstring Side Stretch,Stretching,,,,1,0,1,gvr_07cc77a18a2e,seated hamstring side stretch,,gv_f_11ce0cb4ef,female_only,,,,,,review,auto_candidate
gvc_83f09371e7a1,seated hamstring stretch with chair,Seated Hamstring Stretch With Chair,Thighs,하체,,duration,1,0,1,gvr_83f09371e7a1,seated hamstring stretch with chair,,gv_f_dde040a3b4,female_only,,,,,,review,auto_candidate
gvc_340031a8436a,seated hand to knee back stretch,Seated Hand To Knee Back Stretch,Stretching,,,,1,0,1,gvr_340031a8436a,seated hand to knee back stretch,,gv_f_0512678485,female_only,,,,,,review,auto_candidate
gvc_18d86dc75cd2,seated hands to feet hold,Seated Hands To Feet Hold,Stretching,,,,1,0,1,gvr_18d86dc75cd2,seated hands to feet hold,,gv_f_213280a4c1,female_only,,,,,,review,auto_candidate
gvc_49cb60429f21,seated heel slide on a chair,Seated Heel Slide On A Chair,Calves,하체,,,1,1,0,gvr_49cb60429f21,seated heel slide on a chair,gv_m_7f2954ab66,,male_only,,,,,,review,auto_candidate
gvc_ac46129869e9,seated heel slide on chair,Seated Heel Slide On Chair,Thighs,하체,,,1,1,0,gvr_ac46129869e9,seated heel slide on chair,gv_m_af8af13611,,male_only,,,,,,review,auto_candidate
gvc_cf894d69438b,seated high row with a towel on a padded stool ma,Seated High Row With A Towel On A Padded Stool (ma,,,,,1,1,0,gvr_cf894d69438b,seated high row with a towel on a padded stool ma,gv_m_bf8f058ee8,,male_only,,,,,,review,auto_candidate
gvc_ce59d6692696,seated hip external rotation,Seated Hip External Rotation,Hips,하체,,,1,0,1,gvr_ce59d6692696,seated hip external rotation,,gv_f_31666f89c9,female_only,,,,,,review,auto_candidate
gvc_3ad609c46784,seated hip external rotator and hip extensor stret,Seated Hip External Rotator And Hip Extensor Stret,,,,,2,1,1,gvr_3ad609c46784,seated hip external rotator and hip extensor stret,gv_m_c3c78320d5,gv_f_fe71b6d886,paired_1_to_1_auto,,,,,,review,auto_candidate
gvc_031d559792dd,seated hip external rotator and hip extensor stret 11 40 54,Seated Hip External Rotator And Hip Extensor Stret 11.40.54,,,,,1,0,1,gvr_031d559792dd,seated hip external rotator and hip extensor stret 11 40 54,,gv_f_9061003782,female_only,,,,,,review,auto_candidate
gvc_7d94aec9a3bc,seated in out leg raise on floor,Seated In Out Leg Raise On Floor,Waist,코어,,reps,2,1,1,gvr_7d94aec9a3bc,seated in out leg raise on floor,gv_m_e9a08868da,gv_f_7e6a0d3245,paired_1_to_1_auto,,,,,,review,auto_candidate
gvc_b2ba1822677f,seated in out leg raise over bench,Seated In Out Leg Raise Over Bench,Waist,코어,,reps,1,1,0,gvr_b2ba1822677f,seated in out leg raise over bench,gv_m_1c926bc429,,male_only,,,,,,review,auto_candidate
gvc_f22e7bd310ed,seated incline chest press on a chair,Seated Incline Chest Press On A Chair,Chest,가슴,,,1,1,0,gvr_f22e7bd310ed,seated incline chest press on a chair,gv_m_6f4e023619,,male_only,,,,,,review,auto_candidate
gvc_85bbc176ccc5,seated internal and external shoulder rotation fe,Seated Internal And External Shoulder Rotation (fe,,,,,1,0,1,gvr_85bbc176ccc5,seated internal and external shoulder rotation fe,,gv_f_098babca8c,female_only,,,,,,review,auto_candidate
gvc_859dad76ccac,seated internal and external shoulder rotation ma,Seated Internal And External Shoulder Rotation (ma,,,,,1,1,0,gvr_859dad76ccac,seated internal and external shoulder rotation ma,gv_m_d3d99f760f,,male_only,,,,,,review,auto_candidate
gvc_6c53639b7e7f,seated isometric hold pull up,Seated Isometric Hold Pull Up,Back,등,,duration,1,1,0,gvr_6c53639b7e7f,seated isometric hold pull up,gv_m_6093c1b415,,male_only,,,,,,review,auto_candidate
gvc_f8ec1d99bd30,seated jack on a chair,Seated Jack On A Chair,Hips,하체,,,1,1,0,gvr_f8ec1d99bd30,seated jack on a chair,gv_m_3f4e7147f6,,male_only,,,,,,review,auto_candidate
gvc_aad0d77d9c83,seated jack with a towel on a padded stool,Seated Jack With A Towel On A Padded Stool,,,,,1,1,0,gvr_aad0d77d9c83,seated jack with a towel on a padded stool,gv_m_74fed34820,,male_only,,,,,,review,auto_candidate
gvc_612d56fb9b81,seated kayak row with a towel on a padded stool m,Seated Kayak Row With A Towel On A Padded Stool (m,,,,,1,1,0,gvr_612d56fb9b81,seated kayak row with a towel on a padded stool m,gv_m_021b6113c5,,male_only,,,,,,review,auto_candidate
gvc_6708b88399d2,seated knee flexor and hip adductor stretch,Seated Knee Flexor And Hip Adductor Stretch,Thighs,하체,,duration,1,1,0,gvr_6708b88399d2,seated knee flexor and hip adductor stretch,gv_m_5c84b32239,,male_only,,,,,,review,auto_candidate
gvc_f43e4daaa856,seated knee hug glute stretch,Seated Knee Hug Glute Stretch,Stretching,,,,1,0,1,gvr_f43e4daaa856,seated knee hug glute stretch,,gv_f_a8df48645b,female_only,,,,,,review,auto_candidate
gvc_620c6a773ba1,seated knee raise leg raise on a chair,Seated Knee Raise Leg Raise On A Chair,Waist,코어,,reps,1,1,0,gvr_620c6a773ba1,seated knee raise leg raise on a chair,gv_m_b607d31cad,,male_only,,,,,,review,auto_candidate
gvc_1ef4d427859f,seated knee slide,Seated Knee Slide,Stretching,,,,1,0,1,gvr_1ef4d427859f,seated knee slide,,gv_f_b4b15e1f05,female_only,,,,,,review,auto_candidate
gvc_78142a5d437e,seated knee thrust on a chair,Seated Knee Thrust On A Chair,Waist,코어,,,1,1,0,gvr_78142a5d437e,seated knee thrust on a chair,gv_m_6d505c37d0,,male_only,,,,,,review,auto_candidate
gvc_03073cebda38,seated knee to nose stretch,Seated Knee To Nose Stretch,Hips,하체,,duration,1,0,1,gvr_03073cebda38,seated knee to nose stretch,,gv_f_55452d1b0f,female_only,,,,,,review,auto_candidate
gvc_6b06ffc9c9b7,seated knee up rotation stretch,Seated Knee Up Rotation Stretch,Hips,하체,,duration,1,0,1,gvr_6b06ffc9c9b7,seated knee up rotation stretch,,gv_f_931c22db77,female_only,,,,,,review,auto_candidate
gvc_f3ed0dc3f1ed,seated lean back cycling on a chair,Seated Lean Back Cycling On A Chair,Waist,코어,,distance_duration,1,1,0,gvr_f3ed0dc3f1ed,seated lean back cycling on a chair,gv_m_442448729f,,male_only,,,,,,review,auto_candidate
gvc_7d509b88b9e8,seated lean back on a chair,Seated Lean Back On A Chair,Back,등,,,1,1,0,gvr_7d509b88b9e8,seated lean back on a chair,gv_m_bf3b7c0ab1,,male_only,,,,,,review,auto_candidate
gvc_f755f431bb9b,seated lean back open and close on a chair,Seated Lean Back Open And Close On A Chair,,,,,1,1,0,gvr_f755f431bb9b,seated lean back open and close on a chair,gv_m_e18683df64,,male_only,,,,,,review,auto_candidate
gvc_8a06b64bfe6b,seated leaning back stretch,Seated Leaning Back Stretch,Stretching,,,,1,1,0,gvr_8a06b64bfe6b,seated leaning back stretch,gv_m_82b4e8102c,,male_only,,,,,,review,auto_candidate
gvc_ef920f7f7ebe,seated learning back stretch,Seated Learning Back Stretch,Back,등,,duration,1,1,0,gvr_ef920f7f7ebe,seated learning back stretch,gv_m_84e4d8562a,,male_only,,,,,,review,auto_candidate
gvc_a13ee111aebe,seated leg hug cat cow,Seated Leg Hug Cat Cow,Stretching,,,,1,0,1,gvr_a13ee111aebe,seated leg hug cat cow,,gv_f_e6b967b6c6,female_only,,,,,,review,auto_candidate
gvc_6bdac3a98c9a,seated leg kick on a chair,Seated Leg Kick On A Chair,Hips,하체,,,1,1,0,gvr_6bdac3a98c9a,seated leg kick on a chair,gv_m_8a3a196d51,,male_only,,,,,,review,auto_candidate
gvc_7197c0c6d834,seated leg raise,Seated Leg Raise,Waist,코어,,reps,1,1,0,gvr_7197c0c6d834,seated leg raise,gv_m_c56bec5eae,,male_only,,,,,,review,auto_candidate
