merge_key,candidate_count,candidate_ids,candidate_names,male_source_count,female_source_count,total_source_count,equipment,body_parts_ko,merge_reasons,qa_result
dumbbell lying external shoulder rotation,2,gvc_414e559314f9;gvc_76d6bc1a9108,Dumbbell Lying External Shoulder Rotation | Dumbbell Lying External Shoulder Rotation B,1,1,2,Dumbbell,,truncated_suffix,MERGE_IDENTITY
dumbbell reverse grip biceps curl,2,gvc_a901b48019c9;gvc_05def1a9ec3e,Dumbbell Revers Grip Biceps Curl | Dumbbell Reverse Grip Biceps Curl,1,1,2,Dumbbell,팔,normalized_exact,MERGE_IDENTITY
dumbbell single arm reverse wrist curl,2,gvc_081d935c722c;gvc_18d5604a6f21,Dumbbell One Arm Revers Wrist Curl | Dumbbell One Arm Reverse Wrist Curl,1,1,2,Dumbbell,팔,normalized_exact,MERGE_IDENTITY
dumbbell single arm shoulder press,2,gvc_82c34a16b30a;gvc_cb8876fad337,Dumbbell One Arm Shoulder Press (version 2) | Dumbbell One Arm Shoulder Press (version 2) (femal,1,1,2,Dumbbell,어깨,normalized_exact,MERGE_IDENTITY
dumbbell standing inner biceps curl,2,gvc_682333db0c6a;canon_gvr_db35b6f930bf,Dumbbell Standing Inner Biceps Curl (version 2) (f | dumbbell standing inner biceps curl,2,1,3,Dumbbell,팔,normalized_exact,MERGE_IDENTITY
dumbbell standing single leg calf raise,2,gvc_c034550e5f8d;gvc_e3238022e856,Dumbbell Standing Single Leg Calf Raise | Dumbbell Standing Single Leg Calf Raise C,1,1,2,Dumbbell,하체,truncated_suffix,MERGE_IDENTITY
dumbbell walking lunge,2,gvc_c8e5631af908;gvc_66262dd52939,Dumbbell Walking Lunge | Dumbbell Walking Lunges,1,1,2,Dumbbell,하체,normalized_exact,MERGE_IDENTITY
ez bar seated close grip concentration curl,2,gvc_5dffb90bbdf3;gvc_0bc719634dc3,EZ Bar Seated Close Grip Concentration Curl | EZ Bar Seated Close Grip Concentration Curl (femal,1,1,2,EZ Bar,팔,normalized_exact,MERGE_IDENTITY
front plank with arm and leg lift push up positio,2,gvc_3d9ed9dd26b7;gvc_6cd0f6c8ca79,Front Plank With Arm And Leg Lift (push Up Positio | Front Plank With Arm And Leg Lift (push Up Position),1,1,2,,,truncated_suffix;truncated_final_word,MERGE_IDENTITY
knee and toes point out squat slide wall,2,gvc_7d6f253e0369;gvc_db938ec9463b,Knees And Toes Point Out Squat Slide Wall | Knees And Toes Point Out Squat Slide Wall H,1,1,2,,,truncated_suffix,MERGE_IDENTITY
knee raise side jab,2,gvc_11b13add9d9a;gvc_aa51c192ccf6,Knee Raise Side Jab | Knee Raise Side Jabs,1,1,2,,,normalized_exact,MERGE_IDENTITY
lateral raise side step,2,gvc_d7c0672a4ec3;gvc_f616cf3a8800,Lateral Raise Side Step | Side Step Lateral Raise,1,1,2,,,word_order_only,MERGE_IDENTITY
lying alternate knee tuck,2,gvc_b7eebd4f046c;gvc_fc5ad79d08ef,Lying Alternate Knee Tuck | Lying Alternating Knee Tuck,1,1,2,,하체;코어,normalized_exact,MERGE_IDENTITY
lying alternate leg extension,2,gvc_f6d6d9ae7490;gvc_3dc9a280d901,Lying Alternate Leg Extension | Lying Alternating Legs Extension,1,1,2,,하체,normalized_exact,MERGE_IDENTITY
lying raised shoulder windshield wiper,2,gvc_8e141a3f0151;gvc_767d9be460e9,Lying Raised Shoulders Windshield Wiper | Lying Raised Shoulders Windshield Wiper W,1,1,2,,코어,truncated_suffix,MERGE_IDENTITY
